Path,SPM,Mask,Kernel,CohD,ClusterSize,Total,PosAct,PosPre,TP,NegActBound,PosPreBound
SPM_s000,spmT_Pos_s000_p05_d5.464776e-01_c01.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,0,0.5464776,1,2033600,5400,104011,3600,,
SPM_s000,spmT_Pos_s000_p05_d5.464776e-01_c08.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,0,0.5464776,8,2033600,5400,8549,3584,,
SPM_s000,spmT_Pos_s000_p05_d5.464776e-01_c27.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,0,0.5464776,27,2033600,5400,3990,3456,,
SPM_s000,spmT_Pos_s000_p05_d5.464776e-01_c64.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,0,0.5464776,64,2033600,5400,3456,3024,,
SPM_s000,spmT_Pos_s000_p05_d5.464776e-01_c125.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,0,0.5464776,125,2033600,5400,2224,2000,,
SPM_s000,spmT_Pos_s000_p05_d8.061161e-01_c01.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,0,0.8061161,1,2033600,5400,24855,1800,,
SPM_s000,spmT_Pos_s000_p05_d8.061161e-01_c08.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,0,0.8061161,8,2033600,5400,1842,1792,,
SPM_s000,spmT_Pos_s000_p05_d8.061161e-01_c27.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,0,0.8061161,27,2033600,5400,1775,1728,,
SPM_s000,spmT_Pos_s000_p05_d8.061161e-01_c64.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,0,0.8061161,64,2033600,5400,1550,1512,,
SPM_s000,spmT_Pos_s000_p05_d8.061161e-01_c125.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,0,0.8061161,125,2033600,5400,1025,1000,,
SPM_s000,spmT_Pos_s000_p05_d9.495917e-01_c01.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,0,0.9495917,1,2033600,5400,10093,0,,
SPM_s000,spmT_Pos_s000_p05_d9.495917e-01_c08.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,0,0.9495917,8,2033600,5400,0,0,,
SPM_s000,spmT_Pos_s000_p05_d9.495917e-01_c27.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,0,0.9495917,27,2033600,5400,0,0,,
SPM_s000,spmT_Pos_s000_p05_d9.495917e-01_c64.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,0,0.9495917,64,2033600,5400,0,0,,
SPM_s000,spmT_Pos_s000_p05_d9.495917e-01_c125.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,0,0.9495917,125,2033600,5400,0,0,,
SPM_s150,spmT_Pos_s150_p05_d5.464776e-01_c01.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.5464776,1,2033600,5400,105110,4444,162240,10091
SPM_s150,spmT_Pos_s150_p05_d5.464776e-01_c08.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.5464776,8,2033600,5400,71702,4430,162240,8197
SPM_s150,spmT_Pos_s150_p05_d5.464776e-01_c27.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.5464776,27,2033600,5400,32759,4319,162240,5772
SPM_s150,spmT_Pos_s150_p05_d5.464776e-01_c64.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.5464776,64,2033600,5400,13435,3975,162240,4442
SPM_s150,spmT_Pos_s150_p05_d5.464776e-01_c125.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.5464776,125,2033600,5400,7294,3308,162240,3199
SPM_s150,spmT_Pos_s150_p05_d8.061161e-01_c01.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.8061161,1,2033600,5400,25206,2289,162240,2406
SPM_s150,spmT_Pos_s150_p05_d8.061161e-01_c08.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.8061161,8,2033600,5400,6481,2235,162240,1009
SPM_s150,spmT_Pos_s150_p05_d8.061161e-01_c27.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.8061161,27,2033600,5400,2685,1988,162240,697
SPM_s150,spmT_Pos_s150_p05_d8.061161e-01_c64.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.8061161,64,2033600,5400,1998,1526,162240,472
SPM_s150,spmT_Pos_s150_p05_d8.061161e-01_c125.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.8061161,125,2033600,5400,955,779,162240,176
SPM_s150,spmT_Pos_s150_p05_d9.495917e-01_c01.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.9495917,1,2033600,5400,10643,703,162240,1072
SPM_s150,spmT_Pos_s150_p05_d9.495917e-01_c08.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.9495917,8,2033600,5400,1368,650,162240,258
SPM_s150,spmT_Pos_s150_p05_d9.495917e-01_c27.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.9495917,27,2033600,5400,657,507,162240,150
SPM_s150,spmT_Pos_s150_p05_d9.495917e-01_c64.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.9495917,64,2033600,5400,207,166,162240,41
SPM_s150,spmT_Pos_s150_p05_d9.495917e-01_c125.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.9495917,125,2033600,5400,0,0,162240,0
SPM_s300,spmT_Pos_s300_p05_d5.464776e-01_c01.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.5464776,1,2033600,5400,100902,4434,820470,44722
SPM_s300,spmT_Pos_s300_p05_d5.464776e-01_c08.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.5464776,8,2033600,5400,95337,4422,820470,42804
SPM_s300,spmT_Pos_s300_p05_d5.464776e-01_c27.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.5464776,27,2033600,5400,79237,4390,820470,36855
SPM_s300,spmT_Pos_s300_p05_d5.464776e-01_c64.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.5464776,64,2033600,5400,58066,4324,820470,29498
SPM_s300,spmT_Pos_s300_p05_d5.464776e-01_c125.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.5464776,125,2033600,5400,39829,4111,820470,22013
SPM_s300,spmT_Pos_s300_p05_d8.061161e-01_c01.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.8061161,1,2033600,5400,22633,2209,820470,10118
